"country","revenue"
"United Kingdom","6767873.394"
"Netherlands","284661.54"
"EIRE","250285.22"
"Germany","221698.21"
"France","196712.84"
"Australia","137077.27"
"Switzerland","55739.40"
"Spain","54774.58"
"Belgium","40910.96"
"Sweden","36595.91"
"Japan","35340.62"
"Norway","35163.46"
"Portugal","29059.81"
"Finland","22326.74"
"Channel Islands","20086.29"
"Denmark","18768.14"
"Italy","16890.51"
"Cyprus","12946.29"
"Austria","10154.32"
"Singapore","9120.39"
"Poland","7213.14"
"Israel","6994.25"
"Greece","4710.52"
"Iceland","4310.00"
"Canada","3666.38"
"Unspecified","2667.07"
"Malta","2505.47"
"United Arab Emirates","1902.28"
"USA","1730.92"
"Lebanon","1693.88"
"Lithuania","1661.06"
"European Community","1291.75"
"Brazil","1143.60"
"RSA","1002.31"
"Czech Republic","707.72"
"Bahrain","548.40"
"Saudi Arabia","131.17"
